,tracks,track_id,genre_top,genre_top_cat
3377,5,6376,International,5
3378,5,6379,International,5
3379,5,6380,International,5
3380,5,6381,International,5
3381,4,6382,International,5
3382,1,6383,International,5
3383,5,6385,International,5
3384,5,6387,International,5
3386,5,6389,International,5
3387,5,6390,International,5
3389,1,6393,International,5
3390,4,6394,International,5
3392,4,6396,International,5
3402,5,6406,Folk,2
3403,5,6407,Folk,2
3408,25,6439,Hip-Hop,3
3409,25,6440,Hip-Hop,3
3410,25,6442,Hip-Hop,3
3411,25,6443,Hip-Hop,3
3412,25,6448,Hip-Hop,3
3414,1,6459,International,5
3416,9,6461,Folk,2
3417,9,6463,Folk,2
3421,9,6467,Folk,2
3422,1,6469,International,5
3427,5,6517,Rock,7
3428,5,6519,Rock,7
3468,9,6603,Hip-Hop,3
3470,9,6605,Hip-Hop,3
3471,9,6606,Hip-Hop,3
3472,9,6607,Hip-Hop,3
3473,9,6608,Hip-Hop,3
3474,9,6609,Hip-Hop,3
3475,9,6610,Hip-Hop,3
3476,9,6611,Hip-Hop,3
3508,16,6674,Experimental,1
3509,16,6675,Experimental,1
3511,16,6677,Experimental,1
3513,16,6679,Experimental,1
3514,16,6680,Experimental,1
3518,16,6684,Experimental,1
3549,9,6762,Folk,2
3563,3,6776,Rock,7
3565,3,6778,Rock,7
3566,9,6779,Folk,2
3569,9,6782,Folk,2
3570,9,6783,Folk,2
3575,1,6788,Rock,7
3589,4,6802,International,5
3590,4,6803,International,5
3614,3,6854,Folk,2
3615,3,6855,Folk,2
3616,3,6856,Folk,2
3617,4,6857,Folk,2
3649,22,7011,Electronic,0
3758,22,7373,Experimental,1
3759,22,7374,Experimental,1
3760,22,7375,Experimental,1
3761,22,7376,Experimental,1
3762,22,7377,Experimental,1
3763,22,7378,Experimental,1
3764,22,7379,Experimental,1
3766,22,7381,Experimental,1
3768,22,7383,Experimental,1
3770,22,7385,Experimental,1
3771,22,7386,Experimental,1
3773,22,7388,Experimental,1
3776,22,7391,Experimental,1
3777,22,7393,Experimental,1
3841,12,7481,Hip-Hop,3
3842,12,7482,Hip-Hop,3
3843,12,7483,Hip-Hop,3
3846,12,7487,Hip-Hop,3
3847,12,7488,Hip-Hop,3
3848,12,7489,Hip-Hop,3
3849,12,7490,Hip-Hop,3
3850,12,7491,Hip-Hop,3
3851,12,7492,Hip-Hop,3
3854,11,7495,Rock,7
3864,16,7526,Pop,6
3865,16,7527,Pop,6
3866,16,7528,Pop,6
3867,16,7529,Pop,6
3878,9,7548,Experimental,1
3884,9,7554,Experimental,1
3909,6,7709,Folk,2
3910,6,7710,Folk,2
3911,6,7711,Folk,2
3912,6,7712,Folk,2
3913,6,7713,Folk,2
3978,13,7872,Rock,7
4042,4,8056,Rock,7
4109,9,8208,Rock,7
4118,6,8256,Folk,2
4121,6,8259,Folk,2
4123,6,8261,Folk,2
4170,25,8345,Experimental,1
4181,27,8357,Experimental,1
4187,27,8363,Experimental,1
4196,27,8372,Experimental,1
4233,38,8416,Experimental,1
4651,16,9152,Experimental,1
4654,20,9155,Experimental,1
4776,39,9307,Experimental,1
4938,9,9476,Experimental,1
4939,22,9477,Experimental,1
4951,11,9491,Rock,7
4956,22,9505,Experimental,1
4958,1,9511,Rock,7
4959,1,9512,International,5
4960,1,9513,Rock,7
4992,12,9550,Rock,7
4995,12,9553,Rock,7
4997,12,9555,Rock,7
4999,12,9557,Rock,7
5001,12,9559,Rock,7
5002,12,9560,Rock,7
5044,47,9678,Experimental,1
5079,13,9721,Experimental,1
5139,6,9846,Experimental,1
5156,2,9887,Folk,2
5157,2,9888,Folk,2
5177,1,9918,Experimental,1
5211,13,9962,Rock,7
5388,5,10186,International,5
5394,3,10192,Hip-Hop,3
5443,33,10250,Instrumental,4
5496,5,10374,Experimental,1
5497,5,10375,Experimental,1
5498,5,10376,Experimental,1
5499,5,10377,Experimental,1
5501,12,10381,Folk,2
5502,12,10382,Folk,2
5503,12,10383,Folk,2
5504,12,10384,Folk,2
5505,12,10385,Folk,2
5506,12,10386,Folk,2
5507,12,10387,Folk,2
5508,12,10388,Folk,2
5509,12,10389,Folk,2
5539,29,10435,Experimental,1
5542,11,10438,Folk,2
5543,11,10439,Folk,2
5544,11,10440,Folk,2
5545,11,10441,Folk,2
5546,11,10442,Folk,2
5547,11,10443,Folk,2
5548,11,10444,Folk,2
5550,11,10447,Folk,2
5561,13,10458,Folk,2
5574,7,10480,Folk,2
5575,7,10481,Folk,2
5579,7,10485,Folk,2
5610,40,10521,Experimental,1
5616,40,10527,Experimental,1
5624,40,10535,Experimental,1
5630,40,10541,Experimental,1
5664,2,10575,Folk,2
5666,2,10577,Folk,2
5732,10,10668,Rock,7
5733,10,10669,Rock,7
5734,10,10670,Rock,7
5735,10,10671,Rock,7
5736,10,10672,Rock,7
5737,10,10673,Rock,7
5738,10,10674,Rock,7
5739,10,10675,Rock,7
5740,10,10676,Rock,7
5741,10,10677,Rock,7
5742,9,10678,Folk,2
5743,9,10679,Folk,2
5746,9,10682,Folk,2
5748,9,10684,Folk,2
5756,7,10693,Hip-Hop,3
5757,7,10694,Hip-Hop,3
5758,7,10695,Hip-Hop,3
5759,7,10696,Hip-Hop,3
5760,7,10697,Hip-Hop,3
5761,7,10698,Hip-Hop,3
5762,7,10699,Hip-Hop,3
5838,6,10805,Pop,6
5839,6,10806,Pop,6
5840,6,10807,Pop,6
5841,6,10808,Pop,6
5842,6,10809,Pop,6
5843,6,10810,Pop,6
5918,13,10983,Experimental,1
5924,11,10992,Folk,2
5925,12,10993,Folk,2
5940,4,11019,Experimental,1
5941,4,11020,Experimental,1
5967,7,11059,Folk,2
6049,10,11198,Pop,6
6050,10,11199,Pop,6
6051,10,11200,Pop,6
6055,10,11204,Hip-Hop,3
6057,10,11206,Electronic,0
6071,3,11234,Experimental,1
6073,3,11237,Experimental,1
6074,2,11239,Experimental,1
6075,2,11242,Experimental,1
6088,5,11261,Pop,6
6089,16,11262,Electronic,0
6091,16,11264,Rock,7
6095,16,11268,Rock,7
6110,16,11298,Hip-Hop,3
6111,16,11299,Hip-Hop,3
6117,3,11306,Rock,7
6138,29,11333,Experimental,1
6139,29,11334,Experimental,1
6263,7,11503,Folk,2
6264,7,11504,Folk,2
6265,7,11505,Folk,2
6268,7,11508,Folk,2
6304,4,11544,Experimental,1
6389,21,11638,Instrumental,4
6417,13,11671,International,5
6418,13,11672,International,5
6419,13,11673,International,5
6420,13,11674,International,5
6421,13,11675,International,5
6423,13,11677,International,5
6425,13,11679,International,5
6427,13,11681,International,5
6428,13,11682,International,5
6429,13,11683,International,5
6485,33,11763,Hip-Hop,3
6486,33,11764,Hip-Hop,3
6487,33,11765,Hip-Hop,3
6488,33,11766,Hip-Hop,3
6489,33,11767,Hip-Hop,3
6490,33,11768,Hip-Hop,3
6491,33,11769,Hip-Hop,3
6492,33,11770,Hip-Hop,3
6493,33,11771,Hip-Hop,3
6494,33,11772,Hip-Hop,3
6495,33,11773,Hip-Hop,3
6496,33,11774,Hip-Hop,3
6497,33,11775,Hip-Hop,3
6498,33,11776,Hip-Hop,3
6499,33,11777,Hip-Hop,3
6500,33,11778,Hip-Hop,3
6501,33,11779,Hip-Hop,3
6502,33,11780,Hip-Hop,3
6503,33,11781,Hip-Hop,3
6504,33,11782,Hip-Hop,3
6505,33,11783,Hip-Hop,3
6506,33,11784,Hip-Hop,3
6507,33,11785,Hip-Hop,3
6508,33,11786,Hip-Hop,3
6509,33,11787,Hip-Hop,3
6510,33,11788,Hip-Hop,3
6511,33,11789,Hip-Hop,3
6512,33,11790,Hip-Hop,3
6513,33,11791,Hip-Hop,3
6514,33,11792,Hip-Hop,3
6515,33,11793,Hip-Hop,3
6516,33,11794,Hip-Hop,3
6517,33,11795,Hip-Hop,3
6525,33,11803,Hip-Hop,3
6540,33,11818,Hip-Hop,3
6561,32,11839,Hip-Hop,3
6572,9,11861,Hip-Hop,3
6573,9,11862,Hip-Hop,3
6578,9,11867,Hip-Hop,3
6579,9,11868,Hip-Hop,3
6615,7,11916,Hip-Hop,3
6616,7,11917,Hip-Hop,3
6617,7,11918,Hip-Hop,3
6618,7,11919,Hip-Hop,3
6619,7,11920,Hip-Hop,3
6620,7,11921,Hip-Hop,3
6621,7,11922,Hip-Hop,3
6622,20,11933,Rock,7
6626,20,11937,Pop,6
6631,20,11942,Electronic,0
6634,8,11946,Experimental,1
6635,8,11947,Experimental,1
6639,8,11951,Experimental,1
6708,9,12045,Folk,2
6709,9,12046,Folk,2
6710,9,12047,Folk,2
6711,9,12048,Folk,2
6712,9,12049,Folk,2
6713,9,12050,Folk,2
6714,9,12051,Folk,2
6715,9,12052,Folk,2
6716,9,12053,Folk,2
6721,11,12058,Folk,2
6722,11,12059,Folk,2
6723,11,12060,Folk,2
6724,11,12061,Folk,2
6725,11,12062,Folk,2
6727,11,12064,Folk,2
6728,11,12065,Folk,2
6729,11,12066,Folk,2
6730,11,12067,Folk,2
6770,1,12109,International,5
6787,2,12146,Pop,6
6788,2,12147,Pop,6
6811,10,12173,Hip-Hop,3
6812,10,12174,Hip-Hop,3
6817,10,12179,Pop,6
6825,12,12188,Pop,6
6826,12,12189,Electronic,0
6968,5,12346,Experimental,1
6970,8,12348,Folk,2
6971,8,12349,Folk,2
6972,8,12350,Folk,2
6973,8,12351,Folk,2
6974,8,12352,Folk,2
6975,8,12353,Folk,2
6977,8,12355,Folk,2
6997,14,12376,Pop,6
7001,10,12387,Pop,6
7004,10,12390,Pop,6
7008,10,12394,Hip-Hop,3
7077,10,12481,Folk,2
7078,10,12482,Folk,2
7080,10,12484,Folk,2
7081,10,12485,Folk,2
7082,10,12486,Folk,2
7083,10,12487,Folk,2
7084,10,12488,Folk,2
7085,10,12489,Folk,2
7086,10,12490,Folk,2
7104,9,12508,Folk,2
7109,9,12513,Folk,2
7110,9,12514,Folk,2
7114,10,12518,Pop,6
7117,10,12521,Rock,7
7122,10,12526,Hip-Hop,3
7123,10,12527,Pop,6
7126,10,12530,Pop,6
7127,10,12531,Hip-Hop,3
7128,10,12532,Pop,6
7133,10,12537,Pop,6
7147,10,12551,Pop,6
7148,10,12552,Pop,6
7231,2,12654,Pop,6
7240,3,12690,International,5
7241,3,12691,International,5
7242,3,12692,International,5
7244,9,12737,Experimental,1
7409,2,12985,Folk,2
7410,2,12986,Folk,2
7572,11,13191,Pop,6
7578,11,13197,Pop,6
7579,11,13199,Hip-Hop,3
7581,10,13201,Hip-Hop,3
7598,10,13218,Pop,6
7600,10,13220,Pop,6
7646,10,13325,Rock,7
7649,10,13328,Pop,6
7668,11,13362,Pop,6
7684,11,13378,Pop,6
7778,10,13474,Electronic,0
7837,4,13537,International,5
7838,4,13538,International,5
7839,4,13539,International,5
7840,4,13540,International,5
7854,10,13556,Rock,7
7859,10,13561,Hip-Hop,3
7860,10,13562,Electronic,0
7864,10,13566,Hip-Hop,3
7869,10,13571,Electronic,0
7876,5,13578,Experimental,1
7889,11,13591,Hip-Hop,3
7894,11,13596,Rock,7
7915,10,13666,Rock,7
7917,10,13668,Electronic,0
7918,10,13670,Hip-Hop,3
7950,6,13706,Electronic,0
7951,6,13707,Electronic,0
7952,6,13708,Electronic,0
7953,6,13709,Electronic,0
7954,6,13710,Electronic,0
7955,6,13711,Electronic,0
7973,12,13735,Hip-Hop,3
7985,3,13747,Hip-Hop,3
7986,3,13748,Hip-Hop,3
7987,3,13749,Hip-Hop,3
8003,2,13767,Hip-Hop,3
8004,2,13768,Hip-Hop,3
8034,3,13804,Hip-Hop,3
8136,2,13927,Folk,2
8137,2,13928,Folk,2
8138,2,13929,Folk,2
8139,2,13930,Folk,2
8250,13,14063,Electronic,0
8372,6,14208,Electronic,0
8463,6,14315,International,5
8464,6,14316,International,5
8465,6,14317,International,5
8466,6,14318,International,5
8467,6,14319,International,5
8468,6,14320,International,5
8492,11,14344,Electronic,0
8506,2,14358,Hip-Hop,3
8511,3,14363,Hip-Hop,3
8513,3,14365,Hip-Hop,3
8532,3,14386,Hip-Hop,3
8537,4,14391,Hip-Hop,3
8632,6,14538,Hip-Hop,3
8633,6,14539,Hip-Hop,3
8635,6,14541,Hip-Hop,3
8636,6,14542,Hip-Hop,3
8656,23,14568,Instrumental,4
8657,23,14569,Instrumental,4
8658,23,14570,Instrumental,4
8659,23,14571,Instrumental,4
8660,23,14572,Instrumental,4
8662,23,14576,Instrumental,4
8663,23,14577,Instrumental,4
8664,23,14578,Instrumental,4
8665,23,14579,Instrumental,4
8666,23,14580,Instrumental,4
8667,23,14581,Instrumental,4
8668,23,14583,Instrumental,4
8669,23,14584,Instrumental,4
8670,23,14585,Instrumental,4
8671,23,14586,Instrumental,4
8673,23,14588,Instrumental,4
8674,23,14589,Instrumental,4
8675,23,14590,Instrumental,4
8677,4,14601,International,5
8678,4,14602,International,5
8679,4,14603,International,5
8680,4,14604,International,5
8709,2,14653,Rock,7
8715,3,14661,Folk,2
8717,1,14663,Pop,6
8738,3,14684,Folk,2
8744,4,14690,Experimental,1
8746,3,14693,Folk,2
8780,13,14733,Rock,7
8781,13,14734,Rock,7
8782,13,14735,Rock,7
8783,13,14736,Rock,7
8784,13,14737,Rock,7
8785,13,14738,Rock,7
8786,13,14739,Rock,7
8787,13,14740,Rock,7
8788,13,14741,Rock,7
8789,13,14742,Rock,7
8790,13,14743,Rock,7
8791,13,14744,Rock,7
8792,13,14745,Rock,7
8839,10,14809,Folk,2
8862,46,14869,Electronic,0
8995,11,15094,Experimental,1
9077,13,15210,Hip-Hop,3
9220,13,15464,Experimental,1
9221,13,15469,Experimental,1
9223,13,15471,Experimental,1
9227,13,15475,Experimental,1
9228,13,15476,Experimental,1
9237,2,15487,International,5
9238,1,15488,International,5
9271,5,15540,Experimental,1
9272,5,15541,Experimental,1
9273,5,15542,Experimental,1
9274,5,15543,Experimental,1
9330,13,15625,Experimental,1
9443,5,15769,Electronic,0
9444,5,15770,Electronic,0
9445,5,15771,Electronic,0
9446,5,15772,Electronic,0
9447,5,15773,Electronic,0
9498,1,15880,International,5
9672,4,16095,Pop,6
9717,11,16155,Pop,6
9720,11,16158,Pop,6
9724,11,16162,Hip-Hop,3
9725,11,16163,Pop,6
9861,1,16334,International,5
9863,8,16337,Pop,6
9864,8,16338,Pop,6
9865,8,16339,Pop,6
9866,8,16340,Pop,6
9873,1,16354,Rock,7
10146,5,16743,International,5
10147,5,16744,International,5
10148,5,16745,International,5
10150,5,16747,International,5
10213,8,16819,Rock,7
10214,8,16820,Rock,7
10215,8,16821,Rock,7
10216,8,16822,Rock,7
10262,3,16878,Hip-Hop,3
10263,3,16879,Hip-Hop,3
10264,3,16880,Hip-Hop,3
10270,4,16895,Pop,6
10330,4,16994,Rock,7
10331,4,16995,Rock,7
10332,4,16997,Rock,7
10444,1,17132,Folk,2
10526,7,17344,Pop,6
10527,7,17345,Pop,6
10607,22,17462,Rock,7
10620,13,17491,Hip-Hop,3
10625,13,17496,Hip-Hop,3
10628,13,17499,Hip-Hop,3
10629,13,17500,Hip-Hop,3
10665,2,17573,Experimental,1
10679,6,17588,Electronic,0
10692,7,17605,International,5
10693,7,17606,International,5
10694,7,17607,International,5
10695,7,17608,International,5
10696,7,17609,International,5
10697,7,17610,International,5
10698,7,17611,International,5
10716,8,17631,International,5
10717,8,17632,International,5
10718,8,17633,International,5
10719,8,17634,International,5
10720,8,17635,International,5
10721,8,17636,International,5
10722,8,17637,International,5
10729,4,17644,Experimental,1
10805,1,17735,Rock,7
10827,1,17782,Hip-Hop,3
10892,6,17884,Electronic,0
10905,2,17906,Pop,6
10994,4,18031,International,5
10995,4,18032,International,5
10996,4,18033,International,5
10997,4,18034,International,5
11000,3,18037,International,5
11001,3,18038,International,5
11002,3,18039,International,5
11006,3,18043,International,5
11007,3,18044,International,5
11051,2,18112,Experimental,1
11058,19,18124,Experimental,1
11077,3,18144,Pop,6
11078,3,18145,Pop,6
11079,3,18146,Pop,6
11086,6,18159,Folk,2
11109,13,18197,Rock,7
11217,16,18350,Folk,2
11339,11,18607,Rock,7
11343,11,18611,Rock,7
11543,4,18876,Experimental,1
11544,4,18877,Experimental,1
11545,5,18887,Rock,7
11601,2,19073,Pop,6
11602,2,19074,Pop,6
11631,18,19179,Rock,7
11636,18,19184,Rock,7
11639,18,19187,Rock,7
11644,5,19192,Experimental,1
11790,12,19412,Pop,6
11791,12,19413,Pop,6
11793,12,19415,Pop,6
11794,12,19416,Pop,6
11795,12,19417,Pop,6
11796,12,19418,Pop,6
11798,12,19420,Pop,6
11800,12,19422,Pop,6
11801,12,19423,Pop,6
11803,12,19425,Pop,6
11816,12,19438,Hip-Hop,3
11817,12,19439,Hip-Hop,3
11819,12,19441,Pop,6
11820,12,19442,Pop,6
11825,2,19459,International,5
11982,4,19673,International,5
11983,4,19674,International,5
11991,1,19685,Rock,7
11995,17,19689,Pop,6
12013,1,19707,Folk,2
12014,1,19708,Folk,2
12024,1,19729,Hip-Hop,3
12050,4,19758,Pop,6
12051,4,19759,Pop,6
12052,4,19760,Pop,6
12137,3,19889,International,5
12138,3,19890,International,5
12139,3,19891,International,5
12268,10,20050,Rock,7
12461,17,20296,Experimental,1
12512,16,20361,Instrumental,4
12513,16,20362,Instrumental,4
12515,16,20364,Instrumental,4
12516,16,20365,Instrumental,4
12517,16,20366,Instrumental,4
12520,16,20369,Instrumental,4
12522,16,20372,Instrumental,4
12523,16,20373,Instrumental,4
12524,16,20374,Instrumental,4
12525,16,20375,Instrumental,4
12526,16,20376,Instrumental,4
12554,36,20424,Experimental,1
12560,1,20432,International,5
12590,8,20469,Hip-Hop,3
12665,17,20667,Electronic,0
12696,11,20704,Pop,6
12759,8,20818,Experimental,1
12949,12,21058,Experimental,1
12975,4,21085,Electronic,0
12977,5,21087,Folk,2
13023,12,21167,Electronic,0
13062,13,21228,Hip-Hop,3
13065,13,21231,Pop,6
13066,13,21232,Pop,6
13192,15,21400,Pop,6
13193,15,21401,Pop,6
13194,15,21402,Pop,6
13195,15,21403,Pop,6
13196,15,21404,Pop,6
13201,15,21409,Pop,6
13211,14,21422,Electronic,0
13313,31,21565,Pop,6
13324,31,21587,Pop,6
13372,8,21657,Pop,6
13377,6,21672,Pop,6
13381,6,21676,Pop,6
13382,6,21677,Pop,6
13411,30,21707,Folk,2
13444,18,21774,Experimental,1
13481,9,21842,Electronic,0
13497,3,21859,Rock,7
13498,3,21860,Rock,7
13522,5,21891,Electronic,0
13526,5,21895,Electronic,0
13585,7,21995,Pop,6
13586,7,21996,Pop,6
13587,7,21997,Pop,6
13588,7,21998,Pop,6
13589,7,21999,Pop,6
13590,7,22000,Pop,6
13591,7,22001,Pop,6
13646,17,22088,Hip-Hop,3
13647,17,22091,Hip-Hop,3
13649,17,22093,Rock,7
13650,17,22094,Hip-Hop,3
13651,17,22095,Electronic,0
13653,17,22097,Pop,6
13695,7,22150,Experimental,1
13797,22,22295,Hip-Hop,3
13798,2,22296,Hip-Hop,3
13816,2,22315,International,5
13848,18,22348,Pop,6
13937,10,22472,Pop,6
13938,10,22473,Pop,6
13939,10,22474,Pop,6
13940,10,22475,Pop,6
13941,10,22476,Pop,6
13942,10,22477,Pop,6
13943,10,22478,Pop,6
13944,10,22479,Pop,6
13945,10,22480,Pop,6
13946,10,22481,Pop,6
14270,1,23010,Electronic,0
14273,1,23013,Electronic,0
14274,2,23014,Folk,2
14275,1,23015,Folk,2
14276,1,23016,Electronic,0
14289,11,23037,Rock,7
14291,11,23039,Pop,6
14293,11,23041,Rock,7
14299,1,23063,Experimental,1
14373,17,23155,International,5
14374,17,23156,International,5
14382,13,23172,Rock,7
14498,2,23329,Experimental,1
14514,1,23353,Electronic,0
14516,1,23355,Electronic,0
14530,25,23371,Folk,2
14531,1,23372,Electronic,0
14623,10,23505,Electronic,0
14871,10,23862,Electronic,0
15038,3,24216,Experimental,1
15039,3,24217,Experimental,1
15040,3,24218,Experimental,1
15163,10,24362,International,5
15164,10,24363,International,5
15165,10,24364,International,5
15166,10,24365,International,5
15167,10,24366,International,5
15168,10,24367,International,5
15169,10,24368,International,5
15170,10,24369,International,5
15171,10,24370,International,5
15172,10,24371,International,5
15191,15,24418,Hip-Hop,3
15193,15,24420,Hip-Hop,3
15194,15,24421,Hip-Hop,3
